artist,song,popularity,uri,url
John Mellencamp,Jack & Diane,73,spotify:track:43btz2xjMKpcmjkuRsvxyg,https://open.spotify.com/track/43btz2xjMKpcmjkuRsvxyg
Tom Petty,Free Fallin',0,spotify:track:7woZGXjtaYwuvSoU1zToB3,https://open.spotify.com/track/7woZGXjtaYwuvSoU1zToB3
Phillip Phillips,Home,50,spotify:track:4rsW3WCZBGwhHfJWuHRwyT,https://open.spotify.com/track/4rsW3WCZBGwhHfJWuHRwyT
Zac Brown Band,Chicken Fried,1,spotify:track:4dGJf1SER1T6ooX46vwzRB,https://open.spotify.com/track/4dGJf1SER1T6ooX46vwzRB
Taylor Swift,Love Story,52,spotify:track:0kN3oXYWWAk1uC0y2WoyOE,https://open.spotify.com/track/0kN3oXYWWAk1uC0y2WoyOE
Darius Rucker,Wagon Wheel,78,spotify:track:3xdjjKMcMOFgo1eQrfbogM,https://open.spotify.com/track/3xdjjKMcMOFgo1eQrfbogM
a-ha,Take on Me,87,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L
Pitbull,Timber (feat. Ke$ha),82,spotify:track:3cHyrEgdyYRjgJKSOiOtcS,https://open.spotify.com/track/3cHyrEgdyYRjgJKSOiOtcS
Alabama,Song of the South,45,spotify:track:4uUwD0uYzIDjKMKQglzmD2,https://open.spotify.com/track/4uUwD0uYzIDjKMKQglzmD2
Alabama,Dixieland Delight - Single Edit,0,spotify:track:4swEkkLocrQ569W1lYIbdX,https://open.spotify.com/track/4swEkkLocrQ569W1lYIbdX
Train,"Hey, Soul Sister",0,spotify:track:7lJSxSUUlrZ7CxiyO3X0vq,https://open.spotify.com/track/7lJSxSUUlrZ7CxiyO3X0vq
Usher,DJ Got Us Fallin' In Love (feat. Pitbull),80,spotify:track:4356Typ82hUiFAynbLYbPn,https://open.spotify.com/track/4356Typ82hUiFAynbLYbPn
Alicia Keys,Girl on Fire,78,spotify:track:4esOae7i4rqTbAu9o5Pxco,https://open.spotify.com/track/4esOae7i4rqTbAu9o5Pxco
Bruno Mars,Count on Me,76,spotify:track:7l1qvxWjxcKpB9PCtBuTbU,https://open.spotify.com/track/7l1qvxWjxcKpB9PCtBuTbU
Bruno Mars,Marry You,76,spotify:track:22PMfvdz35fFKYnJyMn077,https://open.spotify.com/track/22PMfvdz35fFKYnJyMn077
Bruno Mars,Locked out of Heaven,88,spotify:track:3w3y8KPTfNeOKPiqUTakBh,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh
Bruno Mars,Versace on the Floor,77,spotify:track:0kN8xEmgMW9mh7UmDYHlJP,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP
Bruno Mars,Grenade,79,spotify:track:2tJulUYLDKOg9XrtVkMgcJ,https://open.spotify.com/track/2tJulUYLDKOg9XrtVkMgcJ
Bruno Mars,The Lazy Song,73,spotify:track:1ExfPZEiahqhLyajhybFeS,https://open.spotify.com/track/1ExfPZEiahqhLyajhybFeS
Vance Joy,Riptide,81,spotify:track:3JvrhDOgAt6p7K8mDyZwRd,https://open.spotify.com/track/3JvrhDOgAt6p7K8mDyZwRd
James Arthur,Say You Won't Let Go,87,spotify:track:5uCax9HTNlzGybIStD3vDh,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
Jason Mraz,I'm Yours,81,spotify:track:1EzrEOXmMH3G43AXT1y7pA,https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA
Bryan J,Let Me Take You Out,50,spotify:track:4tM7IvirymOPAk74Us27kD,https://open.spotify.com/track/4tM7IvirymOPAk74Us27kD
Iyaz,Replay,77,spotify:track:4E5P1XyAFtrjpiIxkydly4,https://open.spotify.com/track/4E5P1XyAFtrjpiIxkydly4
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),48,spotify:track:1Q1jlFs004vwB0DOznii3K,https://open.spotify.com/track/1Q1jlFs004vwB0DOznii3K
Usher,Yeah! (feat. Lil Jon & Ludacris),84,spotify:track:5rb9QrpfcKFHM1EUbSIurX,https://open.spotify.com/track/5rb9QrpfcKFHM1EUbSIurX
Jay Sean,Down,0,spotify:track:6ND2f7SUjYNpLqL0WPcNT1,https://open.spotify.com/track/6ND2f7SUjYNpLqL0WPcNT1
Miley Cyrus,Party In The U.S.A.,81,spotify:track:3E7dfMvvCLUddWissuqMwr,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
Jason Derulo,Ridin' Solo,67,spotify:track:6OEolOOk9Gh9bqkdpfIOl0,https://open.spotify.com/track/6OEolOOk9Gh9bqkdpfIOl0
Chris Brown,Forever,0,spotify:track:4X3FiBn7cd88I3MVtph9By,https://open.spotify.com/track/4X3FiBn7cd88I3MVtph9By
Lady Gaga,Just Dance,0,spotify:track:6HkjpGIOHv4y0IBAxUbE5z,https://open.spotify.com/track/6HkjpGIOHv4y0IBAxUbE5z
Kesha,TiK ToK,0,spotify:track:5OMwQFBcte0aWFJFqrr5oj,https://open.spotify.com/track/5OMwQFBcte0aWFJFqrr5oj
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",80,spotify:track:6JV2JOEocMgcZxYSZelKcc,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
Flo Rida,My House,77,spotify:track:6Knv6wdA0luoMUuuoYi2i1,https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1
The Soggy Bottom Boys,"I Am A Man Of Constant Sorrow - From “O Brother, Where Art Thou” Soundtrack / Radio Station Version",0,spotify:track:5AhDb4oM6f4YmHPXW123Fg,https://open.spotify.com/track/5AhDb4oM6f4YmHPXW123Fg
Gillian Welch,"I'll Fly Away - From “O Brother, Where Art Thou” Soundtrack",0,spotify:track:0x5EMnC2M9pDTAAStksrDt,https://open.spotify.com/track/0x5EMnC2M9pDTAAStksrDt
WALK THE MOON,Shut Up and Dance,84,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
Travis Tritt,It's A Great Day To Be Alive,72,spotify:track:3oW6SWwGqiZSPTiAp7ZQoH,https://open.spotify.com/track/3oW6SWwGqiZSPTiAp7ZQoH
Journey,Don't Stop Believin',73,spotify:track:77NNZQSqzLNqh2A9JhLRkg,https://open.spotify.com/track/77NNZQSqzLNqh2A9JhLRkg
The Jackson 5,I Want You Back,0,spotify:track:0PGwM5vdr5fMejx0IIAYXj,https://open.spotify.com/track/0PGwM5vdr5fMejx0IIAYXj
Billy Joel,Piano Man,78,spotify:track:70C4NyhjD5OZUMzvWZ3njJ,https://open.spotify.com/track/70C4NyhjD5OZUMzvWZ3njJ
Lynyrd Skynyrd,Sweet Home Alabama,82,spotify:track:7e89621JPkKaeDSTQ3avtg,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg
Donnie Trumpet & The Social Experiment,Sunday Candy,64,spotify:track:6fTdcGsjxlAD9PSkoPaLMX,https://open.spotify.com/track/6fTdcGsjxlAD9PSkoPaLMX
